--- Day changed 六  8月 20 2016
10:43 -!- maximum_1g is now known as maximum_sg
10:43 -!- maximum_sg is now known as maximum
11:46 -!- billy3321_ is now known as billy3321
13:19 -!- chihchun_afk is now known as chihchun
13:45 -!- chihchun is now known as chihchun_afk
14:28 -!- chihchun_afk is now known as chihchun
14:54 -!- lafin_ is now known as lafin
14:54 -!- alwu_ is now known as alwu
14:54 -!- RzChen_ is now known as RzChen
14:55 -!- chihao_ is now known as chihao
14:56 -!- czchen_ is now known as czchen
15:03 -!- amatecha_ is now known as amatecha
18:12 -!- chihchun is now known as chihchun_afk
18:45 -!- chihchun_afk is now known as chihchun
19:01 -!- chihchun is now known as chihchun_afk
19:02 -!- Mouther [~za7788az@59-127-231-73.HINET-IP.hinet.net] has left #g0v.tw []
20:06 -!- chihchun_afk is now known as chihchun
20:30 -!- chihchun is now known as chihchun_afk
22:27 -!- chihchun_afk is now known as chihchun
22:57 -!- chihchun is now known as chihchun_afk
23:49 -!- chihchun_afk is now known as chihchun
